ticker,date,gap_pct,atr,candle_color,follow_through_level,ft_bar_idx,ft_minutes_from_open,entry_price,eod_close,eod_return,mae_pct,mfe_pct,mae_price,mfe_price,price_above_entry_after_ft,bounce_above_entry_before_lod,bounce_depth_before_lod,session_low_price,session_high_price,lod_minutes_from_open,hod_minutes_from_open,gap_abs
BLSH,2025-09-03,-0.02152,6.3246,BEARISH,58.1701,15,85.0,58.03,54.015,0.069188,0.003877,0.083922,58.255,53.16,True,True,0.001637,53.16,60.7,300.0,0.0,0.02152
BLSH,2025-09-25,-0.041111,4.8686,BEARISH,62.7776,1,5.0,62.27,61.69,0.009314,0.035169,0.020074,64.46,61.02,True,True,0.035169,61.02,64.725,270.0,0.0,0.041111
BLSH,2025-11-13,-0.030117,2.9925,NEUTRAL,42.923,10,65.0,42.795,40.995,0.042061,0.0,0.047085,42.795,40.78,False,False,-0.006893,40.78,44.19,385.0,0.0,0.030117
BLSH,2026-01-29,-0.02348,1.7493,BEARISH,32.7803,8,40.0,32.75,32.64,0.003359,0.023511,0.014198,33.52,32.285,True,True,0.023511,32.285,33.79,360.0,10.0,0.02348
BROS,2025-03-06,-0.028687,4.4204,BEARISH,66.7969,2,10.0,66.23,64.78,0.021893,0.050732,0.02597,69.59,64.51,True,True,0.050732,64.51,69.59,385.0,50.0,0.028687
BROS,2025-04-04,-0.049402,4.4014,BEARISH,52.3094,2,10.0,52.085,51.43,0.012576,0.019967,0.068062,53.125,48.54,True,True,0.003936,48.54,54.23,80.0,0.0,0.049402
BRZU,2024-12-18,-0.057786,2.6882,NEUTRAL,45.3947,1,245.0,44.23,42.49,0.03934,0.0,0.043409,44.23,42.31,False,False,-0.001357,42.31,46.47,340.0,0.0,0.057786
BULL,2025-04-15,-0.194826,7.1475,NEUTRAL,47.561,2,10.0,47.51,40.99,0.137234,0.210482,0.160913,57.51,39.865,True,True,0.210482,39.865,57.51,305.0,45.0,0.194826
BULL,2025-05-12,-0.050579,2.7379,NEUTRAL,14.4849,41,215.0,14.43,14.105,0.022523,0.014553,0.032571,14.64,13.96,True,True,0.014553,13.96,15.96,385.0,20.0,0.050579
BULL,2025-05-15,-0.02323,2.1021,BEARISH,12.4041,66,355.0,12.36,12.285,0.006068,0.016181,0.006068,12.56,12.285,True,True,0.016181,12.21,13.31,330.0,0.0,0.02323
CASY,2025-12-10,-0.028654,13.2843,NEUTRAL,542.3263,1,5.0,542.185,532.43,0.017992,0.048535,0.022271,568.5,530.11,True,True,0.048535,530.11,568.5,380.0,15.0,0.028654
CAT,2025-04-03,-0.041116,8.5246,BEARISH,317.0301,0,0.0,316.71,305.71,0.034732,0.011777,0.036974,320.44,305.0,True,True,0.008936,305.0,320.44,365.0,0.0,0.041116
CCL,2024-06-14,-0.021193,0.6471,BEARISH,15.9061,2,10.0,15.73,15.34,0.024793,0.013668,0.043229,15.945,15.05,False,False,-0.002225,15.05,16.22,150.0,0.0,0.021193
CCL,2025-03-04,-0.028136,1.1839,BEARISH,22.1514,0,0.0,22.135,21.91,0.010165,0.022815,0.031172,22.64,21.445,True,True,0.01152,21.445,22.64,115.0,0.0,0.028136
CCL,2025-03-06,-0.034259,1.2111,NEUTRAL,21.0806,54,270.0,21.075,20.87,0.009727,0.004982,0.013286,21.18,20.795,True,True,0.004982,20.795,21.85,330.0,45.0,0.034259
CCL,2025-11-04,-0.058865,1.0889,NEUTRAL,26.5844,4,20.0,26.53,26.13,0.015077,0.009612,0.023181,26.785,25.915,True,True,0.009612,25.915,27.3,330.0,5.0,0.058865
