t,Close,High,Low,n,Open,Volume,vw
2024-02-23,788.27,823.68,776.18,16141,807.99,911591,799.52288
2024-02-26,791.195,805.95,785.5,8842,797.105,457451,795.957181
2024-02-27,787.57,794.56,771.79,7672,793.255,401389,788.082376
2024-02-28,776.95,788.95,771.27,7282,775.455,433696,778.671116
2024-02-29,791.02,799.88,783.605,7529,790.63,419799,793.985766
2024-03-01,822.43,822.9,794.64,8802,800.36,492334,814.559382
2024-03-04,852.45,876.55,837.42,13203,841.49,704506,856.672435
2024-03-05,859.79,860.26,834.29,8901,852.66,478309,849.543304
2024-03-06,887.44,897.13,870.74,11026,879.82,650059,883.829162
2024-03-07,926.59,927.4,896.5,11164,901.21,599506,916.479882
2024-03-08,875.02,973.91,865.61,26524,950.83,1364766,912.856827
2024-03-11,858.375,887.91,842.0,15060,863.305,774188,865.563598
2024-03-12,918.92,919.24,861.91,12754,880.99,684490,897.9146
2024-03-13,908.88,915.0,884.55,14413,910.78,832900,896.857714
2024-03-14,880.36,906.27,866.365,12038,895.78,656117,880.175502
2024-03-15,878.42,895.35,862.78,10355,870.175,631208,883.718621
2024-03-18,884.61,923.92,871.23,11319,904.0,633062,894.035377
2024-03-19,893.95,905.21,850.13,13951,866.395,762131,879.056588
2024-03-20,903.58,904.09,882.65,7644,898.79,375732,893.856966
2024-03-21,913.95,926.005,904.2,7915,922.6,343031,916.583773
2024-03-22,943.02,947.7,908.81,10672,911.82,523964,934.450122
2024-03-25,950.35,967.54,935.48,7166,939.41,384006,954.566537
2024-03-26,926.28,963.39,925.05,7336,958.51,393760,944.970337
2024-03-27,903.03,931.49,891.495,9823,929.67,569192,902.927902
2024-03-28,902.84,913.0,892.11,6302,899.62,333570,904.589375
2024-04-01,903.03,921.975,892.885,6631,903.31,353181,905.251457
2024-04-02,894.59,900.57,876.75,6363,883.225,326384,888.711244
2024-04-03,889.195,903.43,884.29,6351,884.49,308085,895.726987
2024-04-04,858.97,906.14,858.97,6275,903.38,344968,882.154887
2024-04-05,879.8,884.64,859.39,8403,868.08,502316,876.929859
2024-04-08,871.82,887.56,867.4,4634,886.72,218516,873.825496
2024-04-09,853.69,876.13,830.23,8369,874.12,435346,847.591502
2024-04-10,869.84,873.85,837.78,7593,839.42,430619,865.216566
2024-04-11,905.87,907.29,869.7,10230,874.58,464204,891.956803
2024-04-12,882.3,901.28,875.53,7782,897.04,403381,887.290795
2024-04-15,859.88,906.07,859.47,7919,890.98,376572,881.762877
2024-04-16,874.02,880.7,861.1,5885,864.66,308608,872.209929
2024-04-17,840.68,887.69,839.6,11420,883.19,731862,853.863613
2024-04-18,847.16,861.745,824.03,7757,850.34,446962,847.230622
2024-04-19,762.01,842.7,756.33,23869,831.13,1572848,787.032453
2024-04-22,795.52,800.59,764.31,12173,781.46,745522,785.419149
2024-04-23,823.87,827.5,803.2,7263,808.365,402728,820.190857
2024-04-24,796.78,840.65,792.15,10296,840.0,581533,812.282584
2024-04-25,826.8,832.995,782.23,7707,789.23,381712,814.591334
2024-04-26,877.15,883.01,834.49,10536,838.905,537084,866.791463
2024-04-29,878.2,879.75,852.93,5205,875.825,283279,869.114554
2024-04-30,864.135,887.39,863.035,4602,872.385,267687,873.154138
2024-05-01,830.01,860.0,812.77,11719,851.2,870241,828.472782
2024-05-02,858.245,862.28,832.0,6152,845.105,340065,850.005764
2024-05-03,887.745,892.66,871.11,6296,876.51,334859,883.284651
2024-05-06,921.41,922.0,891.01,6085,893.9,285136,913.471472
2024-05-07,905.18,917.57,890.27,7435,910.52,422845,905.479521
2024-05-08,903.5,911.47,894.52,4304,894.825,221476,902.497579
2024-05-09,887.6,910.27,882.9,6619,905.31,303425,890.581195
2024-05-10,898.61,913.55,892.46,5551,902.765,251513,901.067878
2024-05-13,904.02,909.73,885.645,5312,904.84,233506,901.064455
2024-05-14,913.73,916.37,889.94,5019,895.37,232381,907.488575
2024-05-15,946.3,948.55,916.58,8286,924.65,444654,940.877735
2024-05-16,943.59,957.555,941.405,4123,949.14,211279,949.819857
2024-05-17,924.845,947.04,918.23,5435,944.83,273414,932.020088
2024-05-20,947.6,951.93,934.4,5803,937.61,265835,946.630324
2024-05-21,953.57,954.0,932.095,5357,935.305,248866,944.648916
2024-05-22,948.745,960.085,933.22,9278,954.655,431107,945.919702
2024-05-23,1038.64,1062.66,1015.69,17878,1020.28,846800,1037.833129
2024-05-24,1064.71,1064.71,1030.16,9492,1044.55,434162,1048.729087
2024-05-28,1140.525,1148.75,1098.83,15652,1102.44,717748,1123.911426
2024-05-29,1146.37,1154.625,1109.375,11044,1130.5,530678,1136.337439
2024-05-30,1105.57,1158.0,1096.85,11251,1145.92,469750,1133.900643
2024-05-31,1095.14,1127.05,1069.57,11189,1124.62,522293,1096.224384
2024-06-03,1149.995,1150.0,1120.26,6929,1137.24,277141,1138.047767
2024-06-04,1164.35,1165.61,1140.935,8358,1157.03,328757,1153.012027
