ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes
NRG,2025-01-15 05:00:00+00:00,GAP_UP,0.0346192384769538,0.0346192384769538,2-5%,3.660357142857144,103.255,99.8,-3.71,BEARISH,104.87,102.315,104.09,0.015641,0.009104,0.4412,0.2568,110.0,0.0,FIRST_2HR,AT_OPEN,-0.008087,0,False,,True,110.0
NRG,2025-01-21 05:00:00+00:00,GAP_UP,0.0262754857853929,0.0262754857853929,2-5%,4.082500000000001,107.215,104.47,75.66,MAX_BULLISH,112.765,107.215,111.52,0.051765,0.0,1.3595,0.0,355.0,0.0,LAST_HOUR,AT_OPEN,-0.040153,0,True,80.0,False,
NRG,2025-01-22 05:00:00+00:00,GAP_UP,0.0286047345767575,0.0286047345767575,2-5%,4.313214285714286,114.71,111.52,-3.88,BEARISH,115.065,109.675,110.32,0.003095,0.043893,0.0823,1.1673,0.0,40.0,AT_OPEN,FIRST_HOUR,0.03827,1,True,5.0,False,
NRG,2025-01-30 05:00:00+00:00,GAP_UP,0.0206011146496814,0.0206011146496814,2-5%,5.168214285714284,102.55,100.48,44.54,BULLISH,105.97,102.535,105.0,0.03335,0.000146,0.6617,0.0029,340.0,0.0,LAST_HOUR,AT_OPEN,-0.023891,0,True,245.0,False,
NRG,2025-04-08 04:00:00+00:00,GAP_UP,0.0542368994381378,0.0542368994381378,5-8%,5.364285714285713,91.94,87.21,34.62,BEARISH,92.01,84.5,85.88,0.000761,0.080922,0.013,1.387,45.0,375.0,FIRST_HOUR,LAST_HOUR,0.065913,1,True,0.0,False,
NRG,2025-04-14 04:00:00+00:00,GAP_UP,0.0314981471678135,0.0314981471678135,2-5%,6.48035714285714,97.425,94.45,32.62,BEARISH,97.425,95.08,95.87,0.0,0.02407,0.0,0.3619,0.0,160.0,AT_OPEN,MID_SESSION,0.015961,1,False,,False,
NRG,2025-04-22 04:00:00+00:00,GAP_UP,0.0486480675159921,0.0486480675159921,2-5%,6.9075,97.54,93.015,100.0,BEARISH,99.325,96.745,98.77,0.0183,0.008151,0.2584,0.1151,375.0,0.0,LAST_HOUR,AT_OPEN,-0.01261,0,False,,False,
NRG,2025-04-23 04:00:00+00:00,GAP_UP,0.0444466943403867,0.0444466943403867,2-5%,6.882142857142858,103.16,98.77,47.78,NEUTRAL,105.09,101.035,102.1,0.018709,0.020599,0.2804,0.3088,0.0,170.0,AT_OPEN,MID_SESSION,0.010275,1,False,,False,
NRG,2025-05-01 04:00:00+00:00,GAP_UP,0.0222688692160263,0.0222688692160263,2-5%,4.126428571428572,112.01,109.57,100.0,NEUTRAL,115.11,111.555,114.15,0.027676,0.004062,0.7513,0.1103,20.0,0.0,FIRST_30MIN,AT_OPEN,-0.019105,0,False,,False,
NRG,2025-05-12 04:00:00+00:00,GAP_UP,0.1518833535844472,0.1518833535844472,12%+,5.61607142857143,137.46,119.335,91.72,MAX_BULLISH,150.77,137.46,150.71,0.096828,0.0,2.37,0.0,385.0,0.0,LAST_HOUR,AT_OPEN,-0.096392,0,True,0.0,False,
