ticker,date,prior_close,open_price,gap_pct,day_close,day_high,day_low
NNE,2024-06-10 04:00:00+00:00,6.72,7.13,0.06101190476190479,7.25,7.25,7.13
NNE,2024-06-17 04:00:00+00:00,9.3,10.01,0.07634408602150528,9.29,10.3,8.54
NNE,2024-06-20 04:00:00+00:00,11.3,13.12,0.1610619469026547,14.93,16.36,12.22
NNE,2024-06-24 04:00:00+00:00,15.44,16.5,0.06865284974093268,20.82,22.125,16.5
NNE,2024-06-25 04:00:00+00:00,20.82,23.74,0.14024975984630153,29.06,37.43,21.95
NNE,2024-07-01 04:00:00+00:00,23.57,27.525,0.1677980483665676,28.68,32.18,23.27
NNE,2024-07-05 04:00:00+00:00,23.65,25.52,0.0790697674418605,28.135,29.22,25.52
NNE,2024-07-08 04:00:00+00:00,28.135,29.8,0.059178958592500414,29.625,33.49,28.45
NNE,2024-07-30 04:00:00+00:00,13.71,14.4,0.050328227571115935,12.62,15.865,12.62
NNE,2024-08-06 04:00:00+00:00,7.96,8.945,0.12374371859296486,8.93,9.21,8.1
NNE,2024-08-12 04:00:00+00:00,8.62,9.27,0.07540603248259865,8.05,9.27,8.05
NNE,2024-08-14 04:00:00+00:00,6.71,7.06,0.05216095380029801,7.88,8.86,6.75
NNE,2024-08-16 04:00:00+00:00,8.38,9.125,0.08890214797136028,8.73,9.125,7.83
NNE,2024-08-20 04:00:00+00:00,11.42,12.5,0.09457092819614711,10.95,13.72,10.27
NNE,2024-08-22 04:00:00+00:00,11.2,12.03,0.07410714285714287,10.375,12.195,10.27
NNE,2024-08-28 04:00:00+00:00,10.685,11.29,0.05662143191389786,10.12,11.45,9.83
NNE,2024-09-10 04:00:00+00:00,7.43,8.25,0.11036339165545092,8.62,9.33,8.0
NNE,2024-09-13 04:00:00+00:00,11.55,12.7,0.09956709956709944,15.25,15.94,12.19
NNE,2024-09-16 04:00:00+00:00,15.25,16.11,0.05639344262295078,13.99,16.25,12.5
NNE,2024-09-24 04:00:00+00:00,14.06,14.9,0.05974395448079657,13.76,15.15,13.35
NNE,2024-09-27 04:00:00+00:00,15.02,15.975,0.06358189081225034,14.98,17.49,14.59
NNE,2024-10-16 04:00:00+00:00,15.48,16.95,0.09496124031007744,21.42,21.52,15.75
NNE,2024-10-21 04:00:00+00:00,20.345,21.825,0.07274514622757437,27.4,27.735,21.27
NNE,2024-10-25 04:00:00+00:00,18.4,19.49,0.05923913043478261,19.12,20.74,18.63
NNE,2024-11-06 05:00:00+00:00,17.81,19.29,0.0830993823694554,18.94,19.315,18.22
NNE,2024-11-14 05:00:00+00:00,23.05,24.82,0.07678958785249455,22.63,25.16,22.28
NNE,2024-11-22 05:00:00+00:00,29.28,31.695,0.08247950819672129,33.565,33.75,27.39
NNE,2024-11-29 05:00:00+00:00,26.74,28.21,0.05497382198952889,27.49,29.62,27.09
NNE,2024-12-02 05:00:00+00:00,27.49,28.94,0.052746453255729464,27.99,28.94,27.13
NNE,2024-12-04 05:00:00+00:00,26.615,28.035,0.053353372158557275,26.49,29.41,25.41
NNE,2024-12-12 05:00:00+00:00,24.11,25.565,0.06034840315221907,23.14,25.78,23.02
NNE,2024-12-24 05:00:00+00:00,25.14,27.88,0.10898965791567217,28.55,29.39,26.38
NNE,2025-01-14 05:00:00+00:00,20.38,21.9,0.07458292443572127,21.36,22.06,20.65
NNE,2025-01-21 05:00:00+00:00,24.71,26.65,0.07851072440307558,32.19,32.265,26.53
NNE,2025-01-28 05:00:00+00:00,33.17,36.005,0.08546879710581853,34.8,36.39,31.69
NNE,2025-02-26 05:00:00+00:00,25.53,27.26,0.06776341558950257,29.67,30.21,26.915
NNE,2025-03-03 05:00:00+00:00,28.82,30.46,0.05690492713393479,27.33,30.68,26.945
NNE,2025-03-12 04:00:00+00:00,27.51,29.51,0.07270083605961468,27.795,29.65,27.62
NNE,2025-04-08 04:00:00+00:00,23.08,24.495,0.06130849220103998,22.6,24.615,21.6
NNE,2025-04-23 04:00:00+00:00,19.185,20.935,0.0912170966901225,20.51,21.43,20.16
NNE,2025-04-28 04:00:00+00:00,22.92,24.15,0.05366492146596845,23.86,24.39,22.98
NNE,2025-05-14 04:00:00+00:00,27.31,28.885,0.0576711827169536,26.4,29.18,26.155
NNE,2025-05-23 04:00:00+00:00,27.57,30.015,0.08868335146898804,35.83,37.16,29.11
NNE,2025-06-03 04:00:00+00:00,30.91,33.125,0.07165965706890973,29.21,34.15,29.0
NNE,2025-06-16 04:00:00+00:00,30.52,32.24,0.05635648754914818,34.63,36.8,32.24
NNE,2025-10-13 04:00:00+00:00,45.805,48.71,0.06342102390568717,54.415,55.3,48.49
NNE,2025-10-15 04:00:00+00:00,54.35,57.44,0.05685372585096589,52.65,60.725,50.38
NNE,2026-01-05 05:00:00+00:00,27.58,29.115,0.05565627266134881,30.96,31.565,28.09
NNE,2026-01-09 05:00:00+00:00,33.09,35.11,0.061045633121788935,31.98,35.79,31.81
NNE,2026-01-21 05:00:00+00:00,33.885,37.63,0.11052087944518238,34.74,38.11,32.235
NRG,2024-07-31 04:00:00+00:00,73.35,77.765,0.06019086571233819,75.22,77.84,74.705
NRG,2025-04-08 04:00:00+00:00,87.21,91.94,0.05423689943813788,85.88,92.01,84.5
